	Column Labels																								
	eminterp																								wabtaotpaper
	nil			rtc			rtl			compileall															nil
	nojit	1	10	nojit	1	10	nojit	1	10	nojit					1					10					nil
Row Labels	nil	nil	nil	nil	nil	nil	nil	nil	nil	0.1	0.3	0.5	0.7	1.0	0.1	0.3	0.5	0.7	1.0	0.1	0.3	0.5	0.7	1.0	
2mm																									
Average of average_duration_ms	2397	4603	2397	53	4596	53	153	4598	154	902	588	744	428	271	3009	1488	558	486	270	906	587	745	430	271	268
gemm																									
Average of Max_duration_ms	147	4951	143	613	4915	613	1452	4937	1455	1389	1392	2112	3232	3891	5574	6134	3364	4490	3883	1388	1389	2118	3234	3882	3836
Average of min_duration_ms	137	4871	137	15	4867	15	18	4870	18	15	15	15	16	15	16	16	15	15	15	15	15	16	16	15	16
Average of average_duration_ms	139	4898	138	55	4887	55	159	4896	160	314	291	296	281	274	3197	1575	641	550	273	314	290	297	281	273	271
gemver																									
Average of Max_duration_ms	64	5398	530	688	5411	688	1453	5384	1454	1389	1393	2073	3212	3961	6015	6602	3861	4991	3972	1389	1388	2078	3219	3970	3908
Average of min_duration_ms	61	5320	523	15	5308	15	19	5313	19	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	61	5348	527	60	5343	60	173	5339	174	294	286	287	281	279	3466	1700	768	645	279	325	285	287	282	279	275
gesummv																									
Average of Max_duration_ms	35	4803	502	590	4771	590	1449	4813	1456	1392	1391	1987	3100	3859	5444	5991	3208	4306	3862	1390	1390	1986	3097	3864	3807
Average of min_duration_ms	32	4732	496	15	4727	15	18	4725	18	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Average of average_duration_ms	33	4761	499	53	4747	53	160	4756	161	276	274	273	272	272	3114	1535	602	519	272	307	274	273	272	272	268
gramschmidt																									
Average of Max_duration_ms	175	5076	173	634	5068	632	1453	5075	1451	1392	1625	2212	3322	3938	5715	6439	3570	4666	3943	1390	1631	2215	3321	3936	3900
Average of min_duration_ms	165	4994	165	15	4987	15	18	5003	18	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	166	5022	166	57	5017	56	161	5028	161	326	316	306	286	277	3281	1110	679	577	278	327	317	306	286	277	275
heat-3d																									
Average of Max_duration_ms	694	5702	696	712	5726	712	1457	5698	1452	1392	2154	3208	3912	3980	6346	7109	4708	5413	3970	1390	2151	3218	3925	3977	3941
Average of min_duration_ms	660	5624	660	16	5622	16	18	5623	18	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	17
Average of average_duration_ms	665	5654	665	62	5657	62	165	5650	165	624	538	451	323	281	3666	1371	855	711	280	625	538	452	324	280	278
jacobi-1d																									
Average of Max_duration_ms	24	4617	23	548	4596	547	1453	4605	1445	1389	1396	1961	2977	3808	5257	5755	3001	4016	3795	1389	1391	1961	2980	3807	3773
Average of min_duration_ms	22	4543	22	14	4540	14	17	4543	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Average of average_duration_ms	23	4571	22	50	4563	50	153	4565	153	270	269	268	269	268	2696	1478	548	479	267	270	269	268	269	268	266
jacobi-2d																									
Average of Max_duration_ms	472	4838	465	600	4834	600	1448	4827	1451	1389	1705	2434	3555	3866	5483	6012	3269	4389	3854	1389	1696	2438	3562	3862	3837
Average of min_duration_ms	446	4758	447	15	4762	15	17	4757	17	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	451	4788	451	54	4789	54	157	4782	157	388	332	358	300	272	3140	1540	612	526	272	388	329	358	301	272	271
lu																									
Average of Max_duration_ms	661	5120	659	1026	5126	1019	1934	5115	1932	1390	2093	2684	3784	3917	5751	6496	3603	4695	3917	1392	2091	2679	3784	3914	3872
Average of min_duration_ms	633	5038	630	483	5044	481	494	5037	494	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	638	5070	637	523	5072	521	634	5071	637	598	546	431	379	276	3303	1230	688	584	276	598	545	430	379	276	273
ludcmp																									
Average of Max_duration_ms	651	5726	1109	1112	5699	1106	1937	5706	1938	1390	2115	3182	3884	4032	6346	7124	4711	5418	4027	1391	2571	3175	3888	4028	3977
Average of min_duration_ms	617	5633	1077	484	5628	483	498	5629	499	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	17
Average of average_duration_ms	623	5665	1086	529	5657	530	648	5663	649	619	566	444	405	284	3666	1519	858	714	284	652	596	443	405	284	281
mvt																									
Average of Max_duration_ms	46	4862	45	589	4847	590	1450	4876	1452	1388	1390	2011	3131	3881	5504	6044	3274	4395	3873	1390	1390	2019	3132	3872	3827
Average of min_duration_ms	44	4795	44	15	4788	15	17	4790	18	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16
Average of average_duration_ms	44	4819	44	53	4812	53	160	4821	161	280	277	276	274	273	3148	1551	617	532	273	280	277	277	274	273	270
nussinov																									
Average of Max_duration_ms	486	5664	485	753	5697	752	1450	5691	1453	1386	1954	2989	3699	4014	6312	7062	4662	5350	4003	1398	1950	3003	3707	4012	3970
Average of min_duration_ms	462	5590	461	15	5591	15	17	5587	17	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	467	5618	465	65	5630	65	167	5626	167	518	461	399	312	283	3641	1360	849	706	282	519	462	401	313	282	280
seidel-2d																									
Average of Max_duration_ms	707	4684	716	573	4687	573	1462	4679	1456	1389	1923	2647	3744	3830	5334	5846	3095	4200	3836	1387	1916	2637	3761	3830	3800
Average of min_duration_ms	676	4602	679	15	4604	15	17	4609	17	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	683	4633	685	52	4637	52	154	4632	153	493	360	402	313	270	3046	1501	569	494	270	491	359	402	314	270	268
symm																									
Average of Max_duration_ms	96	4975	98	628	4977	628	1448	4988	1450	1391	1391	2082	3215	3900	5606	6156	3410	4540	3885	1393	1391	2077	3203	3908	3847
Average of min_duration_ms	92	4903	92	15	4897	15	18	4911	18	15	16	15	16	15	16	16	16	15	15	16	16	16	16	16	16
Average of average_duration_ms	92	4927	93	56	4921	56	160	4941	160	300	285	288	279	275	3220	1581	651	557	274	300	285	288	279	275	271
syr2k																									
Average of Max_duration_ms	137	4862	138	607	4868	607	1448	4869	1453	1389	1392	2103	3216	3875	5499	6032	3284	4393	3871	1389	1384	2107	3225	3880	3838
Average of min_duration_ms	132	4786	132	15	4777	15	18	4794	18	15	15	15	15	15	16	15	15	15	15	15	15	15	15	15	16
Average of average_duration_ms	133	4810	133	54	4806	55	159	4821	159	311	289	294	280	273	3148	1548	618	532	273	311	288	295	280	273	271
syrk																									
Average of Max_duration_ms	96	4755	101	585	4755	584	1449	4770	1454	1388	1388	2043	3195	3854	5397	5917	3157	4257	3849	1391	1393	2053	3161	3854	3811
Average of min_duration_ms	94	4679	94	15	4683	15	17	4692	17	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	15
Average of average_duration_ms	94	4705	95	53	4708	53	156	4718	156	292	282	285	279	271	3087	1519	589	509	271	292	282	286	276	271	269
trisolv																									
Average of Max_duration_ms	24	4642	25	553	4636	553	1454	4631	1452	1385	1390	1961	2984	3803	5269	5770	3016	4022	3797	1395	1391	1963	2991	3806	3773
Average of min_duration_ms	23	4557	24	15	4557	14	17	4550	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Average of average_duration_ms	24	4587	24	51	4588	50	155	4579	155	269	269	268	269	268	3002	1482	551	481	267	271	269	268	270	268	266
trmm																									
Average of Max_duration_ms	66	4731	65	573	4751	575	1450	4760	1447	1388	1394	2017	3124	3847	5378	5922	3148	4235	3841	1390	1389	2018	3125	3847	3798
Average of min_duration_ms	62	4654	62	15	4673	15	17	4670	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Average of average_duration_ms	63	4681	63	52	4697	52	155	4703	155	283	277	279	273	271	3074	1514	584	504	271	283	277	279	273	271	268
